student_code,student_name,student_email,english_level,faculty,GPA
2110070,Ông Quang Dương,a@hcmut.edu.vn,3,MT,3.0
2110071,Hồng Mai,a@hcmut.edu.vn,3,MT,3.31
2110072,Mai Dương,a@hcmut.edu.vn,3,MT,0.53
2110073,Trung Trí Bùi,a@hcmut.edu.vn,2,MT,0.9
2110074,Thành Bùi,a@hcmut.edu.vn,3,MT,0.2
2110075,Dương Trần,a@hcmut.edu.vn,3,MT,2.56
2110076,Vân Dương,a@hcmut.edu.vn,4,MT,0.04
2110077,Nhật Trí Trần,a@hcmut.edu.vn,4,MT,2.94
2110078,An Bùi,a@hcmut.edu.vn,3,MT,0.38
2110079,Khoa Đặng,a@hcmut.edu.vn,4,MT,3.17
2110080,Chị Vân Dương,a@hcmut.edu.vn,2,MT,2.5
2110081,Châu Quang Hoàng,a@hcmut.edu.vn,2,MT,1.18
2110082,Hạnh Dương,a@hcmut.edu.vn,4,MT,3.07
2110083,Chị Bảo Hoàng,a@hcmut.edu.vn,2,MT,3.47
2110084,Bảo Hữu Hoàng,a@hcmut.edu.vn,1,MT,2.06
2110085,Anh Hoàng,a@hcmut.edu.vn,3,MT,1.41
2110086,Quý cô Nhật Mai,a@hcmut.edu.vn,0,MT,3.28
2110087,Bà Khoa Hoàng,a@hcmut.edu.vn,1,MT,2.13
2110088,Phương Đức Trần,a@hcmut.edu.vn,0,MT,0.81
2110089,Lan Hoàng,a@hcmut.edu.vn,0,MT,1.97
2110090,Quang Vũ,a@hcmut.edu.vn,0,MT,2.32
2110091,An Xuân Phạm,a@hcmut.edu.vn,3,MT,0.46
2110092,Tú Văn Bùi,a@hcmut.edu.vn,0,MT,1.98
2110093,Quý ông Tùng Bùi,a@hcmut.edu.vn,1,MT,3.05
2110094,Bảo Quang Vũ,a@hcmut.edu.vn,3,MT,2.32
2110095,Anh Châu Mai,a@hcmut.edu.vn,3,MT,1.77
2110096,Phương Hoàng,a@hcmut.edu.vn,4,MT,2.69
2110097,Bà Ngọc Đặng,a@hcmut.edu.vn,1,MT,3.3
2110098,Mai Lê,a@hcmut.edu.vn,3,MT,3.58
2110099,Vũ Phạm,a@hcmut.edu.vn,4,MT,1.37
2110100,Quý cô Lan Trần,a@hcmut.edu.vn,2,MT,0.66
2110101,Nhiên Hải Mai,a@hcmut.edu.vn,3,MT,0.65
2110102,An Thế Mai,a@hcmut.edu.vn,1,MT,2.33
2110103,Quý cô Khoa Trần,a@hcmut.edu.vn,4,MT,1.7
2110104,An Dương,a@hcmut.edu.vn,4,MT,3.86
2110105,Xuân Bùi,a@hcmut.edu.vn,3,MT,1.55
2110106,Bảo Đức Hoàng,a@hcmut.edu.vn,3,MT,0.54
2110107,An Bùi,a@hcmut.edu.vn,0,MT,0.21
2110108,Mai Bùi,a@hcmut.edu.vn,4,MT,0.46
2110109,Quý cô Kim Hoàng,a@hcmut.edu.vn,0,MT,0.55
2110110,Anh Phúc Lê,a@hcmut.edu.vn,4,MT,3.65
2110111,Trọng Nguyễn,a@hcmut.edu.vn,2,MT,3.1
2110112,Quý cô Duyên Lê,a@hcmut.edu.vn,2,MT,1.14
2110113,Hải Tấn Phạm,a@hcmut.edu.vn,1,MT,0.25
2110114,Cô Hồng Đặng,a@hcmut.edu.vn,4,MT,3.21
2110115,Hưng Tấn Dương,a@hcmut.edu.vn,2,MT,1.31
2110116,Quang Vũ,a@hcmut.edu.vn,3,MT,3.39
2110117,Bà Kim Đặng,a@hcmut.edu.vn,0,MT,2.71
2110118,Ông Bảo Hoàng,a@hcmut.edu.vn,3,MT,0.1
2110119,Bà Khoa Lê,a@hcmut.edu.vn,3,MT,0.57
2110120,Khoa Hữu Lê,a@hcmut.edu.vn,0,MT,3.48
2110121,Bà Hà Trần,a@hcmut.edu.vn,3,MT,3.79
2110122,Hưng Tấn Lê,a@hcmut.edu.vn,2,MT,2.36
2110123,Chị Vi Vũ,a@hcmut.edu.vn,1,MT,0.77
2110124,An Phạm,a@hcmut.edu.vn,3,MT,0.39
2110125,Cô Nhật Hoàng,a@hcmut.edu.vn,0,MT,0.6
2110126,Quý ông Tú Phạm,a@hcmut.edu.vn,0,MT,2.88
2110127,Khoa Hoàng,a@hcmut.edu.vn,4,MT,2.75
2110128,Bác Minh Phạm,a@hcmut.edu.vn,0,MT,0.8
2110129,Bà Vi Hoàng,a@hcmut.edu.vn,0,MT,2.86
2110130,Quý cô Thảo Bùi,a@hcmut.edu.vn,3,MT,3.57
2110131,Linh Dương,a@hcmut.edu.vn,4,MT,3.11
2110132,Anh Hoàng Hoàng,a@hcmut.edu.vn,2,MT,2.83
2110133,Quang Vũ,a@hcmut.edu.vn,2,MT,1.19
2110134,Quý cô Nhật Dương,a@hcmut.edu.vn,3,MT,3.01
2110135,Quý cô Hà Đặng,a@hcmut.edu.vn,3,MT,3.34
2110136,Thành Phú Phạm,a@hcmut.edu.vn,1,MT,3.65
2110137,Hà Hải Phạm,a@hcmut.edu.vn,3,MT,0.12
2110138,Thảo Nguyễn,a@hcmut.edu.vn,3,MT,2.54
2110139,Hưng Đức Lê,a@hcmut.edu.vn,0,MT,3.18
2110140,Lan Lê,a@hcmut.edu.vn,2,MT,2.33
2110141,Nam Lê,a@hcmut.edu.vn,2,MT,1.95
2110142,Quý cô Hải Lê,a@hcmut.edu.vn,4,MT,1.68
2110143,Quý cô Nhật Lê,a@hcmut.edu.vn,3,MT,0.41
2110144,Cô Nhật Trần,a@hcmut.edu.vn,1,MT,0.88
2110145,Cô Hạnh Nguyễn,a@hcmut.edu.vn,4,MT,3.7
2110146,Anh Dũng Trần,a@hcmut.edu.vn,1,MT,3.62
2110147,Ngọc Trần,a@hcmut.edu.vn,2,MT,2.22
2110148,Chị Mai Vũ,a@hcmut.edu.vn,0,MT,3.28
2110149,Trọng Trí Dương,a@hcmut.edu.vn,3,MT,0.87
2110150,Bà Chi Nguyễn,a@hcmut.edu.vn,4,MT,1.04
2110151,Tùng Quang Vũ,a@hcmut.edu.vn,1,MT,0.35
2110152,Hạnh Vũ,a@hcmut.edu.vn,1,MT,3.85
2110153,Bảo Lê,a@hcmut.edu.vn,0,MT,2.22
2110154,Quý ông Quang Mai,a@hcmut.edu.vn,1,MT,1.23
2110155,Hoàng Phú Nguyễn,a@hcmut.edu.vn,2,MT,2.23
2110156,Lâm Mai Bảo Hoàng,a@hcmut.edu.vn,4,MT,0.81
2110157,Bà Kim Phạm,a@hcmut.edu.vn,1,MT,1.95
2110158,Phương Đức Đặng,a@hcmut.edu.vn,4,MT,2.65
2110159,Hoàng Xuân Dương,a@hcmut.edu.vn,1,MT,3.67
2110160,Bà Vi Hoàng,a@hcmut.edu.vn,2,MT,3.46
2110161,Hà Bùi,a@hcmut.edu.vn,0,MT,3.41
2110163,Bà Dương Vũ,a@hcmut.edu.vn,3,MT,1.41
2110164,Chi Lê,a@hcmut.edu.vn,4,MT,0.24
2110165,Chị Hồng Trần,a@hcmut.edu.vn,2,MT,0.65
2110166,Chị Lâm Bùi,a@hcmut.edu.vn,0,MT,3.88
2110167,Chị Lan Lê,a@hcmut.edu.vn,0,MT,2.89
2110168,Quý cô Ngọc Nguyễn,a@hcmut.edu.vn,3,MT,1.05
2110169,Mai Nguyễn,a@hcmut.edu.vn,1,MT,3.04
2110170,Khoa Đặng,a@hcmut.edu.vn,3,MT,2.65
2110171,Tú Đức Đặng,a@hcmut.edu.vn,3,MT,0.97
2110172,Anh Thành Phạm,a@hcmut.edu.vn,1,MT,1.4
2110173,Trọng Phạm,a@hcmut.edu.vn,2,MT,2.06
2110174,Bảo Hữu Trần,a@hcmut.edu.vn,2,MT,2.14
2110175,Thành Mai,a@hcmut.edu.vn,2,MT,1.64
2110176,Ánh Mai,a@hcmut.edu.vn,1,MT,3.96
2110177,Quang Lê,a@hcmut.edu.vn,4,MT,0.59
2110178,Bác Tùng Trần,a@hcmut.edu.vn,1,MT,3.33
2110179,Trung Phạm,a@hcmut.edu.vn,3,MT,3.93
2110180,Phương Lê,a@hcmut.edu.vn,1,MT,3.13
2110181,Bảo Đức Hoàng,a@hcmut.edu.vn,2,MT,2.03
2110182,Dũng Mai Bảo Bùi,a@hcmut.edu.vn,4,MT,3.96
2110183,Minh Đức Hoàng,a@hcmut.edu.vn,2,MT,1.89
2110184,Quý cô Nhật Đặng,a@hcmut.edu.vn,0,MT,1.59
2110185,Ánh Vũ,a@hcmut.edu.vn,1,MT,1.27
2110186,Hạnh Trí Hoàng,a@hcmut.edu.vn,2,MT,1.84
2110187,Chị Hà Vũ,a@hcmut.edu.vn,4,MT,2.83
2110188,Bảo Trí Trần,a@hcmut.edu.vn,3,MT,2.17
2110189,Duyên Đặng,a@hcmut.edu.vn,4,MT,0.7
2110190,Hồng Trần,a@hcmut.edu.vn,4,MT,0.82
2110191,Bảo Quang Trần,a@hcmut.edu.vn,2,MT,3.63
2110192,Quý cô Hồng Trần,a@hcmut.edu.vn,3,MT,3.06
2110193,Trung Nguyễn,a@hcmut.edu.vn,1,MT,3.96
2110194,Cô Mai Nguyễn,a@hcmut.edu.vn,3,MT,3.75
2110195,Hồng Nguyễn,a@hcmut.edu.vn,1,MT,1.27
2110196,Chị Khoa Trần,a@hcmut.edu.vn,2,MT,2.63
2110197,Bảo Xuân Nguyễn,a@hcmut.edu.vn,3,MT,2.45
2110198,Dũng Mai Bảo Vũ,a@hcmut.edu.vn,1,MT,1.96
2110199,Chị Lâm Mai,a@hcmut.edu.vn,4,MT,1.9
2110200,Minh Hoàng Bùi,a@hcmut.edu.vn,2,MT,2.25
2110201,Nhật Văn Đặng,a@hcmut.edu.vn,1,MT,1.06
2110202,Bảo Trí Dương,a@hcmut.edu.vn,2,MT,2.51
2110203,Cô Mai Trần,a@hcmut.edu.vn,1,MT,2.43
2110204,Phúc Quang Hoàng,a@hcmut.edu.vn,2,MT,3.72
2110205,Quý ông Hoàng Vũ,a@hcmut.edu.vn,0,MT,1.75
2110206,Kim Hữu Đặng,a@hcmut.edu.vn,0,MT,0.83
2110207,Vũ Lê,a@hcmut.edu.vn,2,MT,0.37
2110208,Bác Trọng Hoàng,a@hcmut.edu.vn,3,MT,1.44
2110209,Kim Văn Mai,a@hcmut.edu.vn,1,MT,2.53
2110210,Yến Trần,a@hcmut.edu.vn,1,MT,0.82
2110211,Quý ông Nhiên Lê,a@hcmut.edu.vn,2,MT,3.48
2110212,Mai Trần,a@hcmut.edu.vn,0,MT,3.52
2110213,Duyên Phạm,a@hcmut.edu.vn,3,MT,3.42
2110214,Minh Dương,a@hcmut.edu.vn,2,MT,3.99
2110215,Ông Thành Bùi,a@hcmut.edu.vn,4,MT,3.02
2110216,Linh Đặng,a@hcmut.edu.vn,2,MT,3.58
2110217,Lâm Bùi,a@hcmut.edu.vn,3,MT,2.78
2110218,Cô Chi Nguyễn,a@hcmut.edu.vn,4,MT,2.75
2110219,Mai Nguyễn,a@hcmut.edu.vn,1,MT,0.48
2110220,Bác Vũ Bùi,a@hcmut.edu.vn,2,MT,0.55
2110221,Bà Hạnh Vũ,a@hcmut.edu.vn,4,MT,3.03
2110222,Dũng Thị Nguyễn,a@hcmut.edu.vn,1,MT,3.18
2110223,Châu Văn Bùi,a@hcmut.edu.vn,3,MT,0.75
2110224,Linh Đặng,a@hcmut.edu.vn,2,MT,2.4
2110225,Chị Ánh Đặng,a@hcmut.edu.vn,2,MT,1.18
2110226,Cô Phương Hoàng,a@hcmut.edu.vn,4,MT,3.44
2110227,Nhật Hoàng Trần,a@hcmut.edu.vn,0,MT,2.6
2110228,Bác Hoàng Bùi,a@hcmut.edu.vn,3,MT,3.47
2110229,Hải Tấn Bùi,a@hcmut.edu.vn,3,MT,3.71
2110230,Quý cô Thành Hoàng,a@hcmut.edu.vn,4,MT,1.78
2110231,Quý ông Quang Nguyễn,a@hcmut.edu.vn,2,MT,2.66
2110232,Bảo Vũ,a@hcmut.edu.vn,0,MT,1.4
2110233,Hạnh Nguyễn,a@hcmut.edu.vn,1,MT,2.33
2110234,Chị Thành Bùi,a@hcmut.edu.vn,0,MT,1.73
2110235,Chị Lâm Vũ,a@hcmut.edu.vn,4,MT,2.09
2110236,Thành Mai Hoàng,a@hcmut.edu.vn,0,MT,2.37
2110237,Bà Duyên Mai,a@hcmut.edu.vn,2,MT,1.07
2110238,Bà Hải Vũ,a@hcmut.edu.vn,1,MT,3.79
2110239,Quý ông Phúc Đặng,a@hcmut.edu.vn,4,MT,2.54
2110240,Mai Hoàng,a@hcmut.edu.vn,3,MT,3.57
2110241,Cô Vi Bùi,a@hcmut.edu.vn,0,MT,0.69
2110242,Lâm Trí Phạm,a@hcmut.edu.vn,0,MT,0.32
2110243,Lâm Mai Bảo Nguyễn,a@hcmut.edu.vn,4,MT,3.95
2110244,Phương Hải Dương,a@hcmut.edu.vn,0,MT,0.88
2110245,Nhật Mai,a@hcmut.edu.vn,3,MT,1.97
2110246,Bảo Nguyễn,a@hcmut.edu.vn,3,MT,3.12
2110247,Duyên Trần,a@hcmut.edu.vn,0,MT,2.76
2110248,Chị Bảo Đặng,a@hcmut.edu.vn,0,MT,2.04
2110249,Nam Đức Trần,a@hcmut.edu.vn,1,MT,1.35
2110250,Khoa Nguyễn,a@hcmut.edu.vn,3,MT,0.7
2110251,Cô Ánh Vũ,a@hcmut.edu.vn,1,MT,0.86
2110252,Bác Nam Đặng,a@hcmut.edu.vn,4,MT,1.74
2110253,Trung Đức Vũ,a@hcmut.edu.vn,4,MT,0.91
2110254,Khoa Mai,a@hcmut.edu.vn,3,MT,2.66
2110255,Quý cô Mai Vũ,a@hcmut.edu.vn,4,MT,0.47
2110256,Lâm Phạm,a@hcmut.edu.vn,4,MT,2.81
2110257,Quý cô Khoa Phạm,a@hcmut.edu.vn,4,MT,3.77
2110258,Quý cô Nhật Đặng,a@hcmut.edu.vn,1,MT,0.64
2110259,Kim Dương,a@hcmut.edu.vn,4,MT,2.81
2110260,Châu Phú Hoàng,a@hcmut.edu.vn,4,MT,1.96
2110261,Chị Mai Dương,a@hcmut.edu.vn,1,MT,1.44
2110262,Minh Hoàng,a@hcmut.edu.vn,4,MT,0.83
2110263,Quý cô Chi Đặng,a@hcmut.edu.vn,0,MT,1.84
2110264,Lâm Dương,a@hcmut.edu.vn,1,MT,2.44
2110265,Anh Anh Đặng,a@hcmut.edu.vn,3,MT,3.36
2110266,Ông Dũng Đặng,a@hcmut.edu.vn,0,MT,0.99
2110267,Anh Trí Nguyễn,a@hcmut.edu.vn,0,MT,3.0
2110268,Kim Mai Nguyễn,a@hcmut.edu.vn,1,MT,0.21
2110269,Nhật Trần,a@hcmut.edu.vn,2,MT,3.21
2110270,Cô Khoa Hoàng,a@hcmut.edu.vn,1,MT,2.95
2110271,Hạnh Trần,a@hcmut.edu.vn,0,MT,3.4
2110272,Khoa Hoàng,a@hcmut.edu.vn,0,MT,1.55
2110273,Vũ Mai,a@hcmut.edu.vn,4,MT,3.17
2110274,Bà Thành Phạm,a@hcmut.edu.vn,4,MT,3.88
2110275,Vũ Xuân Bùi,a@hcmut.edu.vn,4,MT,3.61
2110276,Quý ông Quang Bùi,a@hcmut.edu.vn,2,MT,3.58
2110277,Cô Lâm Hoàng,a@hcmut.edu.vn,3,MT,0.64
2110278,Quý ông Tú Trần,a@hcmut.edu.vn,4,MT,2.11
2110279,Hà Hoàng Bùi,a@hcmut.edu.vn,4,MT,1.14
2110280,Chị Hạnh Trần,a@hcmut.edu.vn,0,MT,0.11
2110281,Hồng Mai,a@hcmut.edu.vn,3,MT,3.98
2110282,Cô Nhật Phạm,a@hcmut.edu.vn,0,MT,2.12
2110283,Quý ông Minh Bùi,a@hcmut.edu.vn,0,MT,1.13
2110284,Minh Phạm,a@hcmut.edu.vn,2,MT,3.71
2110285,Quý cô Dương Nguyễn,a@hcmut.edu.vn,0,MT,2.15
2110286,Hà Tấn Dương,a@hcmut.edu.vn,2,MT,2.54
2110287,Quý cô Nhật Lê,a@hcmut.edu.vn,3,MT,2.73
2110288,Hạnh Hoàng Lê,a@hcmut.edu.vn,2,MT,3.67
2110289,Hải Hữu Dương,a@hcmut.edu.vn,1,MT,2.88
2110290,Nhật Mai Bùi,a@hcmut.edu.vn,2,MT,2.91
2110291,Ông Tú Trần,a@hcmut.edu.vn,4,MT,0.43
2110292,Bảo Phạm,a@hcmut.edu.vn,2,MT,1.64
2110293,Nhật Hoàng,a@hcmut.edu.vn,2,MT,2.68
2110294,Quang Vũ,a@hcmut.edu.vn,4,MT,0.94
2110295,Vũ Thị Mai,a@hcmut.edu.vn,2,MT,3.99
2110296,Hạnh Đức Nguyễn,a@hcmut.edu.vn,0,MT,0.65
2110297,Trọng Hải Lê,a@hcmut.edu.vn,2,MT,0.7
2110298,Châu Bảo Hoàng,a@hcmut.edu.vn,3,MT,3.61
2110299,Hạnh Mai,a@hcmut.edu.vn,1,MT,1.89
2110300,Chị Bảo Phạm,a@hcmut.edu.vn,2,MT,3.97
2110301,Bác Khoa Lê,a@hcmut.edu.vn,3,MT,1.3
2110302,Kim Văn Dương,a@hcmut.edu.vn,2,MT,2.31
2110303,Tú Vũ,a@hcmut.edu.vn,0,MT,1.56
2110304,Hoàng Trần,a@hcmut.edu.vn,3,MT,3.99
2110305,Lan Phạm,a@hcmut.edu.vn,4,MT,1.03
2110306,Nhật Đặng,a@hcmut.edu.vn,4,MT,1.06
2110307,Hà Thị Lê,a@hcmut.edu.vn,2,MT,3.93
2110308,Bà Yến Lê,a@hcmut.edu.vn,4,MT,0.0
2110309,Hương Lê,a@hcmut.edu.vn,3,MT,3.85
2110310,Linh Hoàng,a@hcmut.edu.vn,1,MT,0.19
2110311,Quý cô Nhật Nguyễn,a@hcmut.edu.vn,4,MT,1.0
2110312,Cô Hương Vũ,a@hcmut.edu.vn,3,MT,1.65
2110313,Quang Mai,a@hcmut.edu.vn,2,MT,0.85
2110314,Quý cô Ngọc Lê,a@hcmut.edu.vn,1,MT,1.53
2110315,Hà Văn Bùi,a@hcmut.edu.vn,3,MT,3.73
2110316,Quý ông Hưng Mai,a@hcmut.edu.vn,2,MT,2.44
2110317,Bảo Phú Hoàng,a@hcmut.edu.vn,4,MT,1.34
2110318,Chị Vân Nguyễn,a@hcmut.edu.vn,4,MT,3.8
2110319,Chị Hương Lê,a@hcmut.edu.vn,0,MT,2.39
2110320,Bác Minh Lê,a@hcmut.edu.vn,4,MT,0.77
2110321,Huy Bùi,a@hcmut.edu.vn,2,MT,2.99
2110322,Bảo Đức Dương,a@hcmut.edu.vn,3,MT,0.99
2110323,Bà Vi Lê,a@hcmut.edu.vn,3,MT,3.4
2110324,Bác Huy Vũ,a@hcmut.edu.vn,2,MT,3.69
2110325,Bảo Bùi,a@hcmut.edu.vn,4,MT,2.74
2110326,Duyên Dương,a@hcmut.edu.vn,3,MT,0.89
2110327,Xuân Vũ,a@hcmut.edu.vn,2,MT,2.17
2110328,Cô An Bùi,a@hcmut.edu.vn,2,MT,1.39
2110329,Quang Hữu Mai,a@hcmut.edu.vn,1,MT,3.15
2110330,Vi Lê,a@hcmut.edu.vn,3,MT,0.64
2110331,Bác Bảo Dương,a@hcmut.edu.vn,1,MT,0.9
2110332,Hải Mai,a@hcmut.edu.vn,2,MT,0.29
2110333,Bảo Thế Bùi,a@hcmut.edu.vn,4,MT,1.64
2110334,Bác Trọng Bùi,a@hcmut.edu.vn,2,MT,3.68
2110335,Phúc Hoàng,a@hcmut.edu.vn,4,MT,3.63
2110336,Bà Chi Vũ,a@hcmut.edu.vn,1,MT,1.51
2110337,Lâm Thị Dương,a@hcmut.edu.vn,2,MT,0.92
2110338,An Mai,a@hcmut.edu.vn,2,MT,1.7
2110339,Anh Tấn Trần,a@hcmut.edu.vn,1,MT,2.49
2110340,Tùng Mai,a@hcmut.edu.vn,0,MT,3.74
2110341,Hạnh Mai Bảo Bùi,a@hcmut.edu.vn,3,MT,0.75
2110342,Chị Nhật Vũ,a@hcmut.edu.vn,3,MT,0.12
2110343,Nam Trí Lê,a@hcmut.edu.vn,0,MT,1.16
2110344,Dương Dương,a@hcmut.edu.vn,3,MT,3.0
2110345,Huy Mai,a@hcmut.edu.vn,0,MT,0.69
2110346,Bà Hải Vũ,a@hcmut.edu.vn,1,MT,0.77
2110347,Quý cô Ánh Bùi,a@hcmut.edu.vn,4,MT,2.82
2110348,Quang Trí Nguyễn,a@hcmut.edu.vn,0,MT,0.23
2110349,Tùng Đức Lê,a@hcmut.edu.vn,0,MT,2.23
2110350,An Hoàng,a@hcmut.edu.vn,4,MT,2.7
2110351,Trọng Bùi,a@hcmut.edu.vn,2,MT,3.56
2110352,Quang Tấn Bùi,a@hcmut.edu.vn,3,MT,2.96
2110353,Cô Vi Lê,a@hcmut.edu.vn,4,MT,0.76
2110354,Quý ông Khoa Đặng,a@hcmut.edu.vn,1,MT,1.82
2110355,Lâm Đặng,a@hcmut.edu.vn,4,MT,0.03
2110356,Hạnh Phú Mai,a@hcmut.edu.vn,0,MT,1.32
2110357,Tùng Hải Bùi,a@hcmut.edu.vn,2,MT,0.73
2110358,Nhật Quang Vũ,a@hcmut.edu.vn,3,MT,1.74
2110359,Anh Châu Dương,a@hcmut.edu.vn,2,MT,0.48
2110360,Anh Trần,a@hcmut.edu.vn,4,MT,1.18
2110361,Bác Hoàng Trần,a@hcmut.edu.vn,2,MT,0.14
2110362,Bà Linh Vũ,a@hcmut.edu.vn,0,MT,0.52
2110363,Anh Hoàng Vũ,a@hcmut.edu.vn,3,MT,2.99
2110364,Cô Dương Vũ,a@hcmut.edu.vn,4,MT,2.23
2110365,Minh Quang Hoàng,a@hcmut.edu.vn,1,MT,3.85
2110366,Quý cô Chi Mai,a@hcmut.edu.vn,0,MT,2.64
2110367,Nhật Dương,a@hcmut.edu.vn,0,MT,2.72
2110368,Chị Duyên Nguyễn,a@hcmut.edu.vn,2,MT,3.6
2110369,Cô Nhật Phạm,a@hcmut.edu.vn,1,MT,3.16
2110370,Quý cô Dương Hoàng,a@hcmut.edu.vn,1,MT,2.52
2110371,Dương Nguyễn,a@hcmut.edu.vn,2,MT,0.87
2110372,Bác Thành Đặng,a@hcmut.edu.vn,2,MT,1.68
2110373,Bảo Hoàng Phạm,a@hcmut.edu.vn,1,MT,3.58
2110374,Bà Vi Hoàng,a@hcmut.edu.vn,2,MT,3.06
2110375,Hà Hoàng,a@hcmut.edu.vn,0,MT,1.71
